快速,过,K1144,洛阳,启东,03:33,03:38
快速,过,K246,成都,扬州,04:13,04:17
直达特快,过,Z51,北京,南通,06:01,06:05
直达特快,过,Z139,北京,南通,06:59,07:02
高速动车,始,G2688,盐城,贵阳北,-,07:05
高速动车,始,G1570,盐城,北京南,-,07:15
高速动车,始,G2632,盐城,沈阳,-,07:20
特快,始,T7775,盐城,南京,-,07:36
城际动车,始,C3666,盐城,南京,-,07:39
特快,过,T215,北京,泰州,07:37,07:50
快速,过,K566,太原,海门,08:09,08:15
直达特快,过,Z158,哈尔滨西,泰州,08:33,08:36
动车组,始,D5668,盐城,徐州东,-,09:05
高速动车,过,G8329,徐州东,上海虹桥,09:11,09:13
高速动车,过,G8312,上海虹桥,连云港,09:57,09:59
动车组,终,D5667,徐州东,盐城,10:00,-
高速动车,过,G8311,连云港,上海虹桥,10:09,10:11
城际动车,终,C3883,南京南,盐城,10:16,-
动车组,始,D5670,盐城,徐州东,-,10:18
快速,过,K420,兰州,扬州,10:37,10:40
城际动车,始,C3678,盐城,南京,-,10:42
高速动车,始,G2682,盐城,重庆西,-,11:17
高速动车,过,G8316,上海虹桥,连云港,11:18,11:22
特快,终,T7772,南京,盐城,11:43,-
快速,过,K1142,启东,洛阳,12:06,12:14
动车组,终,D5669,徐州东,盐城,12:42,-
快速,过,K8600,南通,徐州,12:53,12:57
动车组,始,D5672,盐城,徐州东,-,13:05
快速,过,K245,扬州,成都,13:08,13:15
高速动车,过,G8291,连云港,上海,13:37,13:39
动车组,终,D5671,徐州东,盐城,13:42,-
城际动车,终,C3665,南京,盐城,14:00,-
动车组,始,D5674,盐城,徐州东,-,14:06
高速动车,终,G481,北京南,盐城,14:18,-
高速动车,过,G8314,上海虹桥,连云港,14:22,14:25
动车组,终,D5673,徐州东,盐城,14:27,-
高速动车,终,G2059,石家庄,盐城,14:35,-
高速动车,始,G2060,盐城,石家庄,-,14:38
城际动车,始,C3670,盐城,南京,-,14:43
动车组,始,D5676,盐城,徐州东,-,14:50
高速动车,始,G482,盐城,北京南,-,14:55
高速动车,终,G2641,济南西,盐城,15:05,-
特快,始,T7771,盐城,南京,-,15:08
快速,过,K564,海门,太原,15:06,15:10
高速动车,过,G8318,上海虹桥,连云港,15:26,15:29
高速动车,过,G8313,连云港,上海虹桥,15:33,15:35
高速动车,始,G2642,盐城,济南西,-,16:30
特快,终,T7782,南京,盐城,16:33,-
快速,过,K8599,徐州,南通,16:27,16:35
动车组,终,D5675,徐州东,盐城,17:30,-
高速动车,过,G8315,连云港,上海虹桥,17:47,17:49
动车组,始,D5678,盐城,徐州东,-,18:00
快速,过,K419,扬州,兰州,17:59,18:05
动车组,终,D5677,徐州东,盐城,18:37,-
直达特快,过,Z157,泰州,哈尔滨西,18:42,18:45
特快,始,T7781,盐城,南京,-,18:55
高速动车,过,G8317,连云港,上海虹桥,18:53,18:55
动车组,始,D5680,盐城,徐州东,-,19:10
高速动车,过,G8292,上海,连云港,19:31,19:33
动车组,终,D5679,徐州东,盐城,19:39,-
直达特快,过,Z140,南通,北京,19:58,20:03
高速动车,过,G8330,上海虹桥,徐州东,20:24,20:26
直达特快,过,Z52,南通,北京,20:30,20:35
城际动车,终,C3669,南京,盐城,21:02,-
高速动车,终,G2680,重庆西,盐城,21:32,-
特快,过,T217,泰州,北京,21:29,21:33
高速动车,终,G2630,沈阳,盐城,21:55,-
特快,终,T7776,南京,盐城,22:47,-
高速动车,终,G1569,北京南,盐城,23:09,-
高速动车,终,G2690,贵阳北,盐城,23:39,-
